sampleID,region,location,marine_protected_area,management_type,fishing_restriction,siteID,depth,filter,subset,SAR_OTUrichness,diatom_OTUrichness,dinoAll_OTUrichness,dinophyceae_OTUrichness,SAR_ASVrichness,diatom_ASVrichness,dinoAll_ASVrichness,dinophyceae_ASVrichness,radio_OTUrichness,radio_ASVrichness,foram_OTUrichness,foram_ASVrichness,cerc_OTUrichness,cerc_ASVrichness,api_OTUrichness,api_ASVrichness,ciliate_OTUrichness,ciliate_ASVrichness,MAST_OTUrichness,MAST_ASVrichness,pelago_OTUrichness,pelago_ASVrichness,chryso_OTUrichness,chryso_ASVrichness
EB504,Lombok,North Lombok,no,open access,unrestricted,LBK_17,M,0.4um,M04,34,10,12,5,45,11,15,7,6,6,0,0,0,0,0,0,5,5,3,1,0,0,0,0
EB509,Lombok,North Lombok,no,open access,unrestricted,LBK_18,M,0.4um,M04,80,8,32,13,125,9,62,18,8,10,1,2,4,6,2,5,4,4,10,7,1,1,2,3
EB511,Lombok,South Lombok,yes,core zone,no-take,LBK_07,M,0.4um,M04,102,12,25,8,138,10,42,13,4,4,1,1,5,6,2,2,15,20,25,15,2,2,2,3
EB514,Lombok,South Lombok,no,open access,unrestricted,LBK_08,M,0.4um,M04,108,20,37,14,133,7,53,19,3,3,0,0,6,7,1,1,16,18,19,11,2,2,3,3
EB518,Lombok,South Lombok,no,open access,unrestricted,LBK_09,M,0.4um,M04,105,15,30,9,149,7,52,17,5,6,1,1,4,5,1,1,18,22,21,11,2,2,2,5
EB521,Lombok,South Lombok,yes,core zone,no-take,LBK_10,M,0.4um,M04,106,19,29,5,160,5,62,9,8,10,2,2,5,6,0,0,14,15,25,14,2,2,2,3
EB524,Lombok,South Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_11,M,0.4um,M04,140,18,38,12,221,16,88,25,13,14,1,1,11,15,3,3,17,23,23,17,2,2,5,8
EB530,Waigeo,Waigeo,yes,core zone,no-take,WGO_01,M,0.4um,M04,3,15,13,11,5,3,40,34,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
EB534,Waigeo,Waigeo,yes,core zone,no-take,WGO_02,M,0.4um,M04,59,5,1,1,96,9,4,4,1,1,0,0,1,1,1,1,8,10,8,3,1,1,2,2
EB557,Waigeo,Waigeo,no,open access,unrestricted,WGO_13,M,0.4um,M04,80,11,11,6,125,4,25,20,11,12,1,1,0,0,1,1,7,8,17,8,1,1,2,3
EB568,Waigeo,Waigeo,no,open access,unrestricted,WGO_19,M,0.4um,M04,76,8,24,9,110,11,46,17,5,6,0,0,1,1,2,2,11,14,10,6,1,1,2,2
EB569,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_01,M,0.4um,M04,99,9,36,11,181,9,101,38,12,15,0,0,4,4,2,3,12,19,12,10,1,1,3,3
EB573,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_01,M,0.4um,M04,112,8,42,13,214,10,126,47,9,10,1,1,4,4,1,1,15,23,16,13,1,1,1,2
EB577,Misool,Misool,yes,tourism zone,no-take,MIS_02,M,0.4um,M04,109,22,38,11,192,11,102,31,10,11,0,0,6,6,1,1,19,28,12,9,1,1,1,1
EB585,Misool,Misool,yes,tourism zone,no-take,MIS_04,M,0.4um,M04,159,18,54,21,300,15,156,59,17,25,5,7,10,11,3,3,18,28,21,15,1,1,4,4
EB589,Misool,Misool,yes,tourism zone,no-take,MIS_05,M,0.4um,M04,128,15,45,14,254,11,133,40,16,23,0,0,8,8,2,6,13,16,18,17,1,1,2,2
EB593,Misool,Misool,yes,tourism zone,no-take,MIS_06,M,0.4um,M04,128,14,42,13,274,12,155,47,13,17,0,0,8,10,3,3,13,18,20,20,1,1,4,6
EB601,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_07,M,0.4um,M04,144,18,57,20,313,8,186,63,12,17,2,2,10,11,2,2,16,26,22,19,1,1,3,4
EB605,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_08,M,0.4um,M04,103,14,43,14,156,5,91,30,11,12,1,1,4,4,1,1,11,11,16,9,1,1,2,2
EB609,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_09,M,0.4um,M04,111,19,41,9,176,7,95,24,13,14,0,0,6,6,2,2,12,17,18,12,1,1,3,3
EB613,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_10,M,0.4um,M04,101,13,36,12,164,8,88,29,9,9,1,1,2,2,2,2,9,10,22,18,2,2,2,2
EB617,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_11,M,0.4um,M04,154,18,48,14,317,10,170,32,15,17,4,4,6,7,3,4,20,31,26,24,2,2,4,6
EB621,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_12,M,0.4um,M04,114,21,38,12,188,10,100,34,12,12,1,1,3,3,2,2,16,21,16,8,1,1,4,4
EB625,Misool,Misool,yes,tourism zone,no-take,MIS_13,M,0.4um,M04,179,26,54,18,391,25,196,58,15,17,1,1,14,17,5,8,19,32,25,33,2,2,6,10
EB629,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_14,M,0.4um,M04,24,9,7,6,47,18,20,16,1,1,0,0,0,0,1,1,4,6,1,1,0,0,0,0
EB633,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_15,M,0.4um,M04,82,4,33,17,123,5,68,35,10,11,1,1,3,3,4,5,6,6,11,7,1,1,2,2
EB637,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_16,M,0.4um,M04,98,8,37,28,159,36,69,47,11,17,0,0,2,2,6,7,11,13,3,4,0,0,0,0
EB645,Misool,Misool,yes,tourism zone,no-take,MIS_18,M,0.4um,M04,134,6,52,20,265,19,144,45,16,23,4,5,4,4,1,2,14,18,15,16,1,1,4,6
EB649,Misool,Misool,yes,tourism zone,no-take,MIS_19,M,0.4um,M04,96,14,35,9,181,7,98,27,13,13,1,1,2,2,3,5,5,5,16,16,1,1,3,5
EB653,Misool,Misool,yes,tourism zone,no-take,MIS_20,M,0.4um,M04,132,13,40,14,256,7,137,42,13,13,5,11,7,7,3,3,20,28,20,12,1,1,3,6
EB657,Misool,Misool,yes,tourism zone,no-take,MIS_21,M,0.4um,M04,119,9,47,14,266,5,171,37,13,17,0,0,3,3,2,2,11,18,17,8,2,2,3,6
EB3,Waigeo,Waigeo,yes,core zone,no-take,WGO_01,M,0.4um,M04,21,9,5,3,35,13,13,11,1,1,0,0,0,0,0,0,6,7,1,1,0,0,0,0
EB4,Waigeo,Waigeo,yes,core zone,no-take,WGO_02,M,0.4um,M04,95,18,28,9,139,12,60,16,4,4,0,0,2,2,1,1,20,24,15,10,1,1,4,5
EB204,Waigeo,Waigeo,yes,core zone,no-take,WGO_03,M,0.4um,M04,68,4,19,5,91,15,35,11,6,6,2,2,1,1,0,0,7,7,13,7,1,1,3,3
EB206,Waigeo,Waigeo,yes,core zone,no-take,WGO_04,M,0.4um,M04,135,7,40,14,248,33,114,39,8,9,0,0,6,8,4,5,8,9,27,21,3,3,2,2
EB208,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_05,M,0.4um,M04,111,6,38,11,251,21,129,35,9,17,4,6,3,4,2,4,12,19,15,12,1,2,3,3
EB210,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_06,M,0.4um,M04,103,5,35,11,168,16,77,29,9,12,4,4,4,4,3,3,9,11,15,13,1,2,1,1
EB212,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_07,M,0.4um,M04,39,3,15,3,60,12,27,9,6,6,1,1,1,1,0,0,0,0,4,5,1,2,0,0
EB214,Waigeo,Waigeo,yes,core zone,no-take,WGO_08,M,0.4um,M04,135,9,39,12,256,28,110,32,11,14,0,0,5,6,1,1,17,25,23,23,1,1,4,4
EB216,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_09,M,0.4um,M04,87,9,32,8,134,12,66,18,10,12,1,1,1,1,0,0,7,8,17,8,2,2,2,4
EB218,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_10,M,0.4um,M04,117,5,41,10,192,11,90,19,9,10,0,0,2,3,2,3,15,21,22,16,2,2,1,1
EB220,Waigeo,Waigeo,no,open access,unrestricted,WGO_11,M,0.4um,M04,79,7,24,8,130,11,64,22,5,6,3,3,1,1,0,0,6,7,16,12,1,2,3,3
EB221,Waigeo,Waigeo,no,open access,unrestricted,WGO_12,M,0.4um,M04,68,4,25,8,103,10,49,17,3,4,0,0,1,1,1,1,9,11,13,8,1,1,1,1
EB225,Waigeo,Waigeo,no,open access,unrestricted,WGO_14,M,0.4um,M04,112,9,37,9,210,9,110,27,10,11,4,4,6,8,2,2,10,15,20,11,1,1,4,6
EB226,Waigeo,Waigeo,yes,core zone,no-take,WGO_16,M,0.4um,M04,66,8,22,8,96,17,35,18,9,9,0,0,2,2,0,0,6,8,10,6,1,1,1,1
EB228,Waigeo,Waigeo,yes,core zone,no-take,WGO_17,M,0.4um,M04,58,12,19,6,80,17,33,16,5,5,0,0,0,0,0,0,8,9,9,7,1,1,0,0
EB231,Waigeo,Waigeo,no,open access,unrestricted,WGO_18,M,0.4um,M04,91,16,24,9,128,18,48,21,5,5,3,3,4,4,3,3,10,13,16,13,1,1,2,2
EB233,Waigeo,Waigeo,no,open access,unrestricted,WGO_19,M,0.4um,M04,57,23,19,6,121,22,44,22,4,7,0,0,1,1,0,0,5,10,11,9,1,1,0,0
EB235,Wakatobi,Wakatobi,no,open access,unrestricted,WK_03,M,0.4um,M04,143,17,50,15,245,19,121,33,16,24,0,0,6,6,3,4,11,12,25,21,1,1,3,3
EB239,Wakatobi,Wakatobi,no,open access,unrestricted,WK_04,M,0.4um,M04,108,13,27,10,164,15,55,20,6,8,4,7,9,11,6,6,9,9,21,16,3,3,1,1
EB242,Wakatobi,Wakatobi,no,open access,unrestricted,WK_05,M,0.4um,M04,8,18,4,2,9,1,4,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
EB245,Wakatobi,Wakatobi,no,open access,unrestricted,WK_06,M,0.4um,M04,102,22,34,12,172,17,84,28,9,17,0,0,6,7,2,2,7,7,16,7,2,2,1,1
EB248,Wakatobi,Wakatobi,no,open access,unrestricted,WK_08,M,0.4um,M04,77,22,25,6,128,10,62,16,10,12,3,4,1,1,1,1,7,10,13,8,1,1,3,5
EB251,Wakatobi,Wakatobi,no,open access,unrestricted,WK_09,M,0.4um,M04,114,9,39,12,200,11,96,23,11,13,3,4,3,3,0,0,11,14,19,15,2,2,6,8
EB253,Wakatobi,Wakatobi,no,open access,unrestricted,WK_11,M,0.4um,M04,128,13,40,10,242,17,119,29,16,23,3,3,4,4,2,3,11,12,21,14,2,2,3,7
EB257,Wakatobi,Wakatobi,no,open access,unrestricted,WK_15,M,0.4um,M04,83,4,23,17,145,43,39,27,9,10,2,2,2,2,2,3,14,22,4,4,0,0,3,3
EB260,Wakatobi,Wakatobi,no,open access,unrestricted,WK_16,M,0.4um,M04,105,8,26,10,177,26,55,24,8,9,0,0,3,3,3,9,22,34,9,13,2,2,5,5
EB266,Wakatobi,Wakatobi,no,open access,unrestricted,WK_20,M,0.4um,M04,177,9,50,16,392,14,195,47,16,22,3,3,10,13,4,7,26,36,28,25,2,2,8,18
EB277,Wakatobi,Wakatobi,no,open access,unrestricted,WK_12,M,0.4um,M04,148,10,35,11,257,23,87,27,7,7,6,9,10,14,2,2,24,32,24,27,2,2,4,7
EB282,Wakatobi,Wakatobi,no,open access,unrestricted,WK_18,M,0.4um,M04,153,8,38,13,303,10,122,38,13,17,3,6,7,8,4,4,28,46,27,27,2,2,7,15
EB359,Lombok,North Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_02,M,0.4um,M04,141,6,44,12,312,9,134,31,13,15,3,3,7,8,2,6,18,28,28,29,3,3,3,16
EB363,Lombok,North Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_03,M,0.4um,M04,133,16,49,13,278,4,155,34,10,11,1,1,5,6,3,5,13,17,27,20,2,2,3,10
EB367,Lombok,North Lombok,yes,core zone,no-take,LBK_04,M,0.4um,M04,132,13,49,17,295,4,159,41,9,11,3,3,5,6,3,8,14,21,24,19,3,3,3,11
EB371,Lombok,North Lombok,no,open access,unrestricted,LBK_05,M,0.4um,M04,149,5,54,16,353,11,203,49,16,22,3,3,5,6,3,4,15,21,26,21,2,3,3,12
EB374,Lombok,North Lombok,no,open access,unrestricted,LBK_06,M,0.4um,M04,155,10,49,13,359,8,176,43,18,23,3,3,8,8,3,8,17,27,27,32,3,3,3,14
EB382,Lombok,South Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_12,M,0.4um,M04,155,10,41,15,269,21,102,36,14,17,3,3,7,9,2,3,22,34,28,25,2,2,5,9
EB384,Lombok,North Lombok,yes,core zone,no-take,LBK_13,M,0.4um,M04,143,19,44,10,319,8,167,36,16,23,1,1,5,6,3,5,18,26,27,27,3,3,4,6
EB388,Lombok,North Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_14,M,0.4um,M04,131,8,44,17,287,18,148,48,10,16,2,2,4,5,1,4,11,14,23,19,2,2,4,9
EB392,Lombok,North Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_15,M,0.4um,M04,148,7,49,15,346,11,185,38,21,30,2,2,6,6,3,6,14,17,28,30,3,3,3,10
EB396,Lombok,North Lombok,yes,core zone,no-take,LBK_16,M,0.4um,M04,127,0,37,11,231,11,94,26,11,13,6,8,8,10,3,5,7,9,23,24,3,3,4,5
EB501,Lombok,North Lombok,yes,core zone,no-take,LBK_16,M,12um,M12,32,10,12,7,48,19,16,10,3,3,0,0,2,2,1,3,1,1,0,0,1,1,0,0
EB505,Lombok,North Lombok,no,open access,unrestricted,LBK_17,M,12um,M12,103,11,40,9,156,16,76,15,6,7,3,3,5,7,1,3,4,4,17,10,2,2,2,2
EB508,Lombok,North Lombok,no,open access,unrestricted,LBK_18,M,12um,M12,53,6,18,11,111,46,40,27,5,5,1,1,2,2,1,3,2,2,2,3,0,0,0,0
EB512,Lombok,South Lombok,yes,core zone,no-take,LBK_07,M,12um,M12,55,12,11,9,70,21,13,11,1,1,0,0,2,2,1,1,19,20,3,2,0,0,1,1
EB515,Lombok,South Lombok,no,open access,unrestricted,LBK_08,M,12um,M12,98,8,29,20,141,43,41,27,6,6,1,1,3,4,1,2,20,22,6,4,1,1,2,3
EB519,Lombok,South Lombok,no,open access,unrestricted,LBK_09,M,12um,M12,57,11,19,10,74,23,26,16,3,3,0,0,1,1,2,2,10,11,2,2,1,1,1,1
EB522,Lombok,South Lombok,yes,core zone,no-take,LBK_10,M,12um,M12,90,15,22,12,162,45,54,28,9,13,3,3,5,5,2,5,12,13,3,6,1,1,1,1
EB525,Lombok,South Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_12,M,12um,M12,59,9,17,8,90,33,29,16,2,2,0,0,3,3,2,2,9,10,4,5,0,0,0,0
EB527,Lombok,South Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_11,M,12um,M12,82,1,18,10,125,45,29,15,8,9,1,1,4,4,1,1,19,21,3,4,0,0,1,1
EB531,Waigeo,Waigeo,yes,core zone,no-take,WGO_01,M,12um,M12,36,5,4,1,85,37,6,1,2,2,0,0,0,0,0,0,4,4,1,1,0,0,0,0
EB535,Waigeo,Waigeo,yes,core zone,no-take,WGO_02,M,12um,M12,10,16,9,5,13,5,17,13,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0
EB536,Waigeo,Waigeo,yes,core zone,no-take,WGO_03,M,12um,M12,32,15,5,5,56,31,8,8,0,0,0,0,1,1,0,0,2,2,0,0,0,0,1,1
EB538,Waigeo,Waigeo,yes,core zone,no-take,WGO_04,M,12um,M12,15,5,4,4,24,14,6,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
EB540,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_05,M,12um,M12,36,4,3,2,71,33,5,3,1,1,1,1,0,0,1,2,7,7,1,1,1,1,1,1
EB542,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_06,M,12um,M12,9,15,5,4,12,5,9,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
EB544,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_07,M,12um,M12,54,21,8,7,96,47,18,16,4,4,0,0,1,1,2,3,7,9,2,1,0,0,1,1
EB546,Waigeo,Waigeo,yes,core zone,no-take,WGO_08,M,12um,M12,63,13,9,6,113,63,16,13,3,3,0,0,1,1,2,2,8,11,1,1,0,0,0,0
EB548,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_09,M,12um,M12,21,16,14,8,37,27,42,33,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
EB550,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_10,M,12um,M12,42,3,7,4,103,44,8,5,1,1,1,1,0,0,0,0,9,13,1,2,0,0,0,0
EB552,Waigeo,Waigeo,no,open access,unrestricted,WGO_11,M,12um,M12,55,2,5,2,100,45,8,5,0,0,0,0,0,0,3,4,11,15,1,1,0,0,0,0
EB555,Waigeo,Waigeo,no,open access,unrestricted,WGO_12,M,12um,M12,41,11,7,6,51,14,14,13,2,2,0,0,0,0,0,0,9,9,2,2,0,0,1,1
EB558,Waigeo,Waigeo,no,open access,unrestricted,WGO_13,M,12um,M12,35,12,5,5,66,26,11,11,2,2,0,0,0,0,2,2,7,9,1,1,0,0,1,1
EB559,Waigeo,Waigeo,no,open access,unrestricted,WGO_14,M,12um,M12,22,15,26,6,40,23,46,10,1,2,0,0,0,0,0,0,4,4,0,0,0,0,0,0
EB562,Waigeo,Waigeo,yes,core zone,no-take,WGO_16,M,12um,M12,26,3,9,8,55,25,18,17,2,2,1,2,1,1,1,1,3,3,0,0,0,0,0,0
EB564,Waigeo,Waigeo,yes,core zone,no-take,WGO_17,M,12um,M12,40,19,10,8,72,31,24,21,1,1,0,0,0,0,0,0,11,11,3,3,0,0,1,1
EB565,Waigeo,Waigeo,no,open access,unrestricted,WGO_18,M,12um,M12,37,6,10,7,88,56,21,18,1,1,0,0,1,2,1,1,2,3,1,2,0,0,0,0
EB567,Waigeo,Waigeo,no,open access,unrestricted,WGO_19,M,12um,M12,25,9,3,3,33,13,9,9,1,1,2,3,0,0,1,1,4,4,0,0,0,0,0,0
EB570,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_01,M,12um,M12,42,13,15,11,64,17,28,18,3,4,0,0,2,2,3,3,6,6,1,1,1,1,1,1
