sampleID,region,location,marine_protected_area,management_type,fishing_restriction,siteID,depth,filter,subset,SAR_OTUrichness,diatom_OTUrichness,dinoAll_OTUrichness,dinophyceae_OTUrichness,SAR_ASVrichness,diatom_ASVrichness,dinoAll_ASVrichness,dinophyceae_ASVrichness,radio_OTUrichness,radio_ASVrichness,foram_OTUrichness,foram_ASVrichness,cerc_OTUrichness,cerc_ASVrichness,api_OTUrichness,api_ASVrichness,ciliate_OTUrichness,ciliate_ASVrichness,MAST_OTUrichness,MAST_ASVrichness,pelago_OTUrichness,pelago_ASVrichness,chryso_OTUrichness,chryso_ASVrichness
EB574,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_01,M,12um,M12,100,10,41,14,170,9,98,40,8,9,0,0,5,5,0,0,15,20,13,8,1,1,1,1
EB578,Misool,Misool,yes,tourism zone,no-take,MIS_02,M,12um,M12,66,9,22,12,103,42,36,22,5,6,0,0,3,3,3,5,7,7,2,2,1,1,0,0
EB582,Misool,Misool,yes,tourism zone,no-take,MIS_03,M,12um,M12,77,12,23,13,127,39,47,30,10,10,0,0,4,4,2,5,11,13,1,2,1,1,0,0
EB586,Misool,Misool,yes,tourism zone,no-take,MIS_04,M,12um,M12,65,10,20,13,110,48,32,22,8,8,1,1,3,4,2,3,7,7,1,2,0,0,0,0
EB590,Misool,Misool,yes,tourism zone,no-take,MIS_05,M,12um,M12,46,13,17,13,97,39,42,35,4,5,0,0,0,0,2,2,4,4,1,2,0,0,0,0
EB594,Misool,Misool,yes,tourism zone,no-take,MIS_06,M,12um,M12,44,12,15,12,84,30,39,33,3,3,0,0,0,0,3,3,5,5,2,2,0,0,0,0
EB602,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_07,M,12um,M12,72,8,29,17,138,45,61,37,3,4,1,1,2,2,3,5,10,12,2,4,0,0,0,0
EB606,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_08,M,12um,M12,56,7,18,11,106,30,48,35,4,4,0,0,1,1,3,3,11,14,3,4,0,0,0,0
EB610,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_09,M,12um,M12,48,6,14,10,84,37,29,24,3,3,0,0,0,0,2,4,7,7,2,2,0,0,0,0
EB614,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_10,M,12um,M12,64,8,23,12,126,38,51,31,6,6,0,0,0,0,2,5,14,16,2,2,0,0,1,1
EB618,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_11,M,12um,M12,76,8,25,12,99,29,35,18,5,5,0,0,2,2,1,1,14,15,4,3,1,1,2,2
EB622,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_12,M,12um,M12,82,13,27,18,136,47,49,33,6,7,0,0,2,2,3,5,13,15,4,5,0,0,1,1
EB626,Misool,Misool,yes,tourism zone,no-take,MIS_13,M,12um,M12,126,8,42,23,226,68,87,52,11,15,0,0,7,8,3,4,21,25,6,8,0,0,1,1
EB630,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_14,M,12um,M12,130,8,45,16,192,10,93,27,15,16,1,1,8,8,6,6,8,9,18,12,1,1,3,4
EB634,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_15,M,12um,M12,48,8,17,9,68,5,33,18,9,11,0,0,0,0,4,4,8,8,4,1,1,1,1,1
EB638,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_16,M,12um,M12,48,4,29,22,77,9,54,38,1,1,0,0,1,1,4,5,1,1,1,1,0,0,0,0
EB642,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_17,M,12um,M12,133,7,59,22,286,9,180,62,16,22,0,0,5,5,2,3,15,19,15,17,1,1,3,4
EB646,Misool,Misool,yes,tourism zone,no-take,MIS_18,M,12um,M12,102,14,35,12,162,8,70,27,12,14,3,4,5,5,5,6,12,15,8,4,1,1,3,3
EB650,Misool,Misool,yes,tourism zone,no-take,MIS_19,M,12um,M12,137,9,52,20,272,20,154,47,16,18,1,1,4,4,2,2,14,22,18,18,1,1,3,6
EB654,Misool,Misool,yes,tourism zone,no-take,MIS_20,M,12um,M12,51,14,17,9,78,20,34,21,7,9,1,1,0,0,2,2,8,9,1,1,0,0,0,0
EB658,Misool,Misool,yes,tourism zone,no-take,MIS_21,M,12um,M12,92,11,43,18,155,16,94,34,12,14,0,0,0,0,2,2,8,8,9,7,1,1,1,1
EB1,Waigeo,Waigeo,yes,core zone,no-take,WGO_01,M,12um,M12,62,23,21,15,95,42,30,23,3,3,0,0,0,0,2,3,13,14,0,0,0,0,0,0
EB10,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_09,M,12um,M12,49,23,11,7,76,44,16,11,2,2,0,0,0,0,1,1,5,5,3,4,1,1,0,0
EB11,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_10,M,12um,M12,68,17,24,14,113,45,44,27,0,0,0,0,4,4,2,2,11,13,1,1,0,0,0,0
EB12,Waigeo,Waigeo,no,open access,unrestricted,WGO_11,M,12um,M12,65,17,14,9,115,46,25,17,5,6,0,0,1,1,3,3,18,26,3,3,0,0,0,0
EB13,Waigeo,Waigeo,no,open access,unrestricted,WGO_12,M,12um,M12,88,11,26,16,152,51,42,28,6,7,0,0,2,2,4,4,22,32,3,3,0,0,1,1
EB14,Waigeo,Waigeo,no,open access,unrestricted,WGO_13,M,12um,M12,39,16,12,7,67,26,22,16,4,5,0,0,0,0,1,1,8,10,2,2,0,0,0,0
EB15,Waigeo,Waigeo,no,open access,unrestricted,WGO_14,M,12um,M12,38,19,9,8,52,22,17,16,3,3,0,0,2,2,0,0,7,7,0,0,0,0,0,0
EB16,Waigeo,Waigeo,yes,core zone,no-take,WGO_16,M,12um,M12,29,24,6,5,53,39,10,8,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0
EB17,Waigeo,Waigeo,yes,core zone,no-take,WGO_17,M,12um,M12,53,22,12,8,107,65,22,18,3,3,0,0,0,0,0,0,12,15,1,1,0,0,0,0
EB18,Waigeo,Waigeo,no,open access,unrestricted,WGO_18,M,12um,M12,56,7,13,11,99,43,29,27,3,3,1,1,1,1,0,0,12,17,2,3,0,0,0,0
EB19,Waigeo,Waigeo,no,open access,unrestricted,WGO_19,M,12um,M12,35,23,11,7,44,11,15,11,1,1,1,1,0,0,2,2,6,7,4,1,0,0,0,0
EB2,Waigeo,Waigeo,yes,core zone,no-take,WGO_02,M,12um,M12,54,5,15,9,100,57,25,17,1,1,0,0,0,0,3,4,9,9,1,1,0,0,0,0
EB47,Waigeo,Waigeo,yes,core zone,no-take,WGO_03,M,12um,M12,48,19,16,8,76,37,25,16,1,1,0,0,1,1,1,1,10,10,0,0,0,0,0,0
EB5,Waigeo,Waigeo,yes,core zone,no-take,WGO_04,M,12um,M12,51,9,14,6,66,26,20,8,1,1,1,1,2,2,2,2,3,4,5,5,1,1,0,0
EB6,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_05,M,12um,M12,36,16,10,5,52,22,13,8,2,2,0,0,1,1,3,3,7,7,0,0,0,0,1,1
EB7,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_06,M,12um,M12,37,22,12,7,54,26,19,13,0,0,1,1,1,1,1,1,4,4,1,1,0,0,0,0
EB8,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_07,M,12um,M12,54,26,14,9,78,40,20,15,1,1,0,0,0,0,2,2,8,8,4,4,0,0,0,0
EB9,Waigeo,Waigeo,yes,core zone,no-take,WGO_08,M,12um,M12,84,11,22,10,134,57,38,22,6,6,0,0,0,0,4,4,17,18,4,5,0,0,0,0
EB236,Wakatobi,Wakatobi,no,open access,unrestricted,WK_03,M,12um,M12,67,17,20,13,131,52,40,21,7,11,0,0,1,1,2,2,7,9,6,6,1,1,0,0
EB240,Wakatobi,Wakatobi,no,open access,unrestricted,WK_04,M,12um,M12,126,10,41,10,225,15,112,23,15,19,2,2,4,4,4,4,13,18,23,20,1,1,0,0
EB243,Wakatobi,Wakatobi,no,open access,unrestricted,WK_05,M,12um,M12,99,13,18,9,161,45,30,15,10,12,0,0,0,0,3,4,26,43,13,7,1,1,1,1
EB246,Wakatobi,Wakatobi,no,open access,unrestricted,WK_06,M,12um,M12,95,10,25,10,164,64,46,19,6,9,0,0,2,2,1,1,19,21,10,6,1,1,1,1
EB249,Wakatobi,Wakatobi,no,open access,unrestricted,WK_08,M,12um,M12,105,14,27,15,173,47,49,31,11,13,1,1,3,3,1,3,22,36,7,5,1,1,2,2
EB252,Wakatobi,Wakatobi,no,open access,unrestricted,WK_09,M,12um,M12,49,9,16,8,70,15,27,14,5,6,1,1,0,0,1,1,7,8,4,3,1,1,4,5
EB254,Wakatobi,Wakatobi,no,open access,unrestricted,WK_11,M,12um,M12,75,15,16,8,112,32,27,13,7,8,2,2,2,2,1,2,18,20,5,4,0,0,0,0
EB256,Wakatobi,Wakatobi,no,open access,unrestricted,WK_12,M,12um,M12,81,14,18,13,127,51,30,25,7,7,0,0,7,7,1,1,15,15,4,4,1,1,0,0
EB258,Wakatobi,Wakatobi,no,open access,unrestricted,WK_15,M,12um,M12,134,10,39,12,255,6,111,32,14,17,2,5,7,7,2,3,18,29,22,17,2,2,6,14
EB261,Wakatobi,Wakatobi,no,open access,unrestricted,WK_16,M,12um,M12,139,13,42,12,280,11,145,39,12,16,2,2,4,4,3,4,23,32,22,17,2,2,6,11
EB263,Wakatobi,Wakatobi,no,open access,unrestricted,WK_18,M,12um,M12,91,18,25,17,145,38,41,25,9,11,0,0,1,2,3,4,22,29,6,5,1,1,3,3
EB267,Wakatobi,Wakatobi,no,open access,unrestricted,WK_20,M,12um,M12,60,6,11,5,92,17,29,16,7,7,0,0,1,1,2,3,19,21,6,5,2,2,0,0
EB356,Lombok,North Lombok,yes,core zone,no-take,LBK_01,M,12um,M12,36,5,10,8,70,15,29,23,4,5,0,0,0,0,2,5,4,7,4,2,1,1,0,0
EB360,Lombok,North Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_02,M,12um,M12,46,7,18,10,57,7,27,18,4,4,1,1,0,0,3,3,7,7,5,2,0,0,0,0
EB364,Lombok,North Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_03,M,12um,M12,76,9,25,12,153,44,58,38,5,8,1,2,2,2,3,8,9,11,6,6,1,1,1,1
EB368,Lombok,North Lombok,yes,core zone,no-take,LBK_04,M,12um,M12,53,7,16,9,98,31,40,25,8,8,1,1,3,3,1,2,5,7,2,1,1,1,0,0
EB385,Lombok,North Lombok,yes,core zone,no-take,LBK_13,M,12um,M12,87,8,24,13,141,41,43,20,9,14,0,0,2,2,4,9,13,13,4,3,1,1,2,2
EB389,Lombok,North Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_14,M,12um,M12,38,13,14,9,73,17,32,21,6,8,0,0,1,1,2,5,3,4,2,0,0,0,0,0
EB393,Lombok,North Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_15,M,12um,M12,23,11,8,6,42,11,20,13,4,6,0,0,0,0,1,1,1,1,1,1,0,0,0,0
EB502,Lombok,North Lombok,yes,core zone,no-take,LBK_16,S,0.4um,S04,113,16,22,9,205,13,53,16,7,8,4,14,9,11,10,24,8,8,11,7,2,2,2,2
EB506,Lombok,North Lombok,no,open access,unrestricted,LBK_17,S,0.4um,S04,109,11,26,13,206,26,40,17,2,2,3,5,13,15,13,30,13,15,6,5,1,1,1,1
EB516,Lombok,South Lombok,no,open access,unrestricted,LBK_08,S,0.4um,S04,76,15,21,7,94,10,30,9,0,0,1,2,5,7,8,8,9,9,9,3,1,1,3,3
EB532,Waigeo,Waigeo,yes,core zone,no-take,WGO_01,S,0.4um,S04,12,4,3,2,16,7,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EB553,Waigeo,Waigeo,no,open access,unrestricted,WGO_11,S,0.4um,S04,13,7,5,3,19,3,7,5,0,0,1,1,1,1,0,0,2,2,1,3,0,0,0,0
EB560,Waigeo,Waigeo,no,open access,unrestricted,WGO_14,S,0.4um,S04,76,7,2,2,119,25,3,3,3,4,2,3,2,2,3,3,13,17,6,2,1,1,0,0
EB571,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_01,S,0.4um,S04,136,10,39,14,244,23,93,35,8,9,5,12,8,8,7,8,30,40,8,3,1,1,3,3
EB575,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_01,S,0.4um,S04,138,10,43,12,237,15,104,27,9,9,5,6,8,8,8,12,27,35,9,6,1,1,2,2
EB579,Misool,Misool,yes,tourism zone,no-take,MIS_02,S,0.4um,S04,102,4,29,8,175,12,62,17,7,7,5,9,10,10,8,11,12,17,6,4,1,1,1,1
EB583,Misool,Misool,yes,tourism zone,no-take,MIS_03,S,0.4um,S04,152,13,41,13,294,26,102,36,12,21,5,10,8,9,3,3,34,45,11,9,1,1,2,3
EB587,Misool,Misool,yes,tourism zone,no-take,MIS_04,S,0.4um,S04,105,14,28,9,148,13,43,13,7,8,5,11,4,4,5,6,21,26,8,6,1,1,2,2
EB591,Misool,Misool,yes,tourism zone,no-take,MIS_05,S,0.4um,S04,187,14,54,20,403,41,140,54,13,20,5,13,13,17,8,11,41,57,11,10,1,1,2,3
EB595,Misool,Misool,yes,tourism zone,no-take,MIS_06,S,0.4um,S04,134,9,37,15,288,39,89,36,11,15,5,15,5,5,8,16,26,42,8,5,2,2,1,2
EB603,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_07,S,0.4um,S04,99,12,31,16,147,14,50,26,5,5,2,3,4,5,8,12,14,15,9,6,1,1,2,3
EB607,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_08,S,0.4um,S04,105,12,34,13,147,11,53,20,4,4,2,2,7,7,4,4,16,18,12,7,2,2,2,2
EB611,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_09,S,0.4um,S04,121,12,30,9,189,11,50,14,9,10,7,9,6,6,8,14,24,29,10,6,3,3,1,1
EB615,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_10,S,0.4um,S04,78,11,20,6,125,15,31,7,4,4,4,4,3,3,7,10,16,17,6,4,1,1,0,0
EB619,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_11,S,0.4um,S04,140,12,42,13,257,12,99,24,6,10,4,9,6,6,9,14,29,40,18,10,1,1,3,3
EB623,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_12,S,0.4um,S04,142,18,40,13,257,25,88,33,10,10,3,6,6,7,9,17,29,37,7,6,1,1,8,10
EB627,Misool,Misool,yes,tourism zone,no-take,MIS_13,S,0.4um,S04,127,16,32,11,205,16,62,20,9,10,4,6,5,7,10,16,25,38,14,8,1,1,3,3
EB631,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_14,S,0.4um,S04,113,13,28,11,198,19,65,22,8,13,2,3,3,3,6,9,24,31,12,9,0,0,3,3
EB635,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_15,S,0.4um,S04,87,4,27,13,160,18,46,23,9,12,3,5,2,2,10,28,5,7,8,6,0,0,0,0
EB639,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_16,S,0.4um,S04,42,12,11,8,70,6,22,16,0,0,2,4,3,3,14,23,1,1,2,1,0,0,1,1
EB643,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_17,S,0.4um,S04,120,8,33,8,199,14,69,17,13,14,3,3,4,4,8,13,19,22,9,8,2,2,3,3
EB647,Misool,Misool,yes,tourism zone,no-take,MIS_18,S,0.4um,S04,130,10,46,19,225,19,121,43,16,21,3,3,4,4,3,4,13,15,16,11,2,2,3,4
EB651,Misool,Misool,yes,tourism zone,no-take,MIS_19,S,0.4um,S04,88,8,14,5,136,15,26,14,7,7,2,3,5,5,10,13,18,24,5,4,1,1,4,4
EB655,Misool,Misool,yes,tourism zone,no-take,MIS_20,S,0.4um,S04,176,15,46,18,363,33,116,43,12,15,5,19,17,18,7,14,33,50,13,11,1,1,5,9
EB659,Misool,Misool,yes,tourism zone,no-take,MIS_21,S,0.4um,S04,141,11,35,9,294,25,103,33,14,19,3,6,6,6,9,19,28,49,12,9,1,1,3,4
EB43,Waigeo,Waigeo,yes,core zone,no-take,WGO_02,S,0.4um,S04,107,11,37,15,166,24,69,22,7,8,2,2,5,7,2,2,8,10,17,11,1,1,2,3
EB202,Waigeo,Waigeo,yes,core zone,no-take,WGO_02,S,0.4um,S04,37,11,13,2,67,16,34,10,6,10,0,0,0,0,2,2,1,1,2,1,1,1,0,0
EB205,Waigeo,Waigeo,yes,core zone,no-take,WGO_03,S,0.4um,S04,44,19,18,4,62,4,32,11,5,7,0,0,1,1,2,2,2,2,6,4,1,1,2,2
EB207,Waigeo,Waigeo,yes,core zone,no-take,WGO_04,S,0.4um,S04,50,12,22,6,89,10,53,23,3,3,1,1,1,1,3,5,1,1,8,4,1,1,0,0
EB209,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_05,S,0.4um,S04,37,11,16,5,62,10,32,11,4,4,1,3,0,0,0,0,2,2,5,2,1,1,0,0
EB211,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_06,S,0.4um,S04,40,7,16,4,60,7,28,10,4,5,0,0,0,0,1,2,2,2,9,4,1,3,0,0
EB213,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_07,S,0.4um,S04,46,19,16,6,83,6,44,17,7,9,1,1,0,0,1,1,6,7,8,5,1,2,0,0
EB215,Waigeo,Waigeo,yes,core zone,no-take,WGO_08,S,0.4um,S04,74,8,27,9,111,9,53,20,6,8,1,1,1,1,5,7,6,6,9,9,1,1,0,0
EB217,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_09,S,0.4um,S04,110,9,34,9,176,14,63,19,5,7,3,6,5,5,2,2,11,13,20,17,1,2,3,5
EB219,Waigeo,Waigeo,yes,tourism zone,no-take,WGO_10,S,0.4um,S04,45,9,18,8,68,7,31,13,3,3,0,0,0,0,1,1,6,6,7,9,1,4,1,1
EB222,Waigeo,Waigeo,no,open access,unrestricted,WGO_12,S,0.4um,S04,16,4,5,3,23,5,10,6,1,1,0,0,0,0,0,0,2,2,0,0,1,2,0,0
EB223,Waigeo,Waigeo,no,open access,unrestricted,WGO_13,S,0.4um,S04,60,1,22,6,87,9,39,17,3,3,2,3,2,2,1,2,7,7,8,4,1,1,1,1
EB227,Waigeo,Waigeo,yes,core zone,no-take,WGO_16,S,0.4um,S04,123,12,36,7,249,16,120,24,9,11,5,6,6,8,5,6,13,16,18,10,1,1,3,5
EB229,Waigeo,Waigeo,yes,core zone,no-take,WGO_17,S,0.4um,S04,65,14,18,6,96,22,29,10,3,3,2,2,0,0,5,8,7,9,4,2,2,2,2,2
EB232,Waigeo,Waigeo,no,open access,unrestricted,WGO_18,S,0.4um,S04,95,8,21,9,169,25,55,25,2,3,4,10,4,4,10,14,14,15,9,10,1,2,4,4
EB237,Wakatobi,Wakatobi,no,open access,unrestricted,WK_03,S,0.4um,S04,167,19,45,17,313,31,121,32,17,29,4,5,9,10,5,5,22,28,25,24,2,2,1,2
EB268,Wakatobi,Wakatobi,no,open access,unrestricted,WK_20,S,0.4um,S04,177,15,45,13,366,11,156,40,15,19,7,10,15,15,7,9,26,39,27,17,2,2,4,12
